Professor,Rating
"Trees, Frances",3.21
"Belowich, Alan",3.37
"Chirco, Jt",3.57
Centeno Ana Paula,4.06
"Gunawardena, Ananda",3.46
"Zhai, Juan",2.84
"Menendez, David",2.59
"Venugopal, Seshadri",2.64
"Nesci, Danielle",4.41
"Fuentes, Guillermo",2.72
"Gholizadeh Hamidi, Samaneh",2.15
"Michmizos, Konstantinos",3.83
"Nagarakatte, Santosh",4.15
"Hidalgo, Daniel",4.12
"Steiger, William",2.65
"Balouek-Thomert, Daniel",4.55
"Miranda Garcia, Antonio",1.62
"Assadi, Sepehr",4.61
"Chang, Lily",2.97
"Zhang, Desheng",2.59
"Nath, Badri",2.25
"Krzyzanowski, Paul",3.79
"Boularias, Abdeslam",4.36
"Stone, Matthew",1.78
"Yu, Jingjin",3.4
"Kulikowski, Casimir",2.78
"Motto, Douglas",2.97
"Centeno, Ana",4.08
"Marian, Amelie",3.07
"Lau, Arnold",4.36
"Hajdu, John",3.78
"Gao, Jie",3.69
"Cowan, Charles",2.72
"Francisco, John-Austen",2.56
"Zhang, Zheng",2.31
"Elgammal, Ahmed",2.12
"Imielinski, Tomasz",1.79
"Zhang, Yongfeng",4.23
"Farach-Colton, Martin",2.15
"Martin, Richard",2.15
"Ma, Shiqing",2.5
"Kapadia, Mubbasir",3.45
"Deng, Dong",3.04
"Allender, Eric",2.79
"Bekris, Kostas",2.33
"Lee, Jang Sun",4.05
"Centeno, Ana Paula",4.08
"Venugopal, Sesh",2.64
"Zhang, Peng",1.52
"Bernstein, Aaron",4.18
"Narayana Ganapathy, Srinivas",4.09
"Huang, Yipeng",3.67
"Karmakar, Arnab",3.66
"Mardekian, Jack",2.21
"Kanade, Sanchay",4.28
"Zhu, He",3.79
"Aanjaneya, Mridul",3.57
"Srikanta, Karthik",3.98
"Stratos, Karl",2.3
"Russo, Mark",4.54
"Behl, Jhanavi",1.78
"Pise, Neeraj Nitin",3.85
"Anvekar, Aniket",4.9
"Landge, Sahil",2.55
"Chavan, Pranav Suklal",4.24
"Schoepflin, Daniel",4.55
"Abello Monedero, James",2.15
"Gavva, Surya Teja",4.12
"Gale, Abraham",1.82
"Szegedy, Mario",3.59
"Kannan, Sudarsun",3.37
"Thatikonda, Sai Samhith",4.88
"Wang, Xintong",3.28
"Kim, Diana",3.9
"Wang, Hao",3.28
"Hedrick, Charles",4.05
"Kremer, Ulrich",3.32
"Shah, Anand",3.83
"Fan, Xiong",2.48
"Zhang, Qiong",1.52
"Wahi, Anjali",4.57
"Garg, Sumegha",3.57
"Jing, Eric",3.37
